feature,importance
num__Sales,0.2120447169993613
num__sales_per_item,0.17781140133983275
num__discounted_sales,0.17195203736197104
num__Discount,0.04451114472273775
cat__City_Lancaster,0.04249220214825236
num__Postal Code,0.03821943824648586
cat__Sub-Category_Machines,0.035926683885724155
num__is_high_discount,0.03559931907027165
num__Quantity,0.031238801849452515
cat__Sub-Category_Copiers,0.02880873031128333
